A1,A2,A3,A4,A5,A6,A7,A8,A9
7224,8387,5432,5678,15611,11110,12656,14065,26721
7331,8285,5543,5632,15616,11175,12874,13917,26791
7310,8389,5496,5704,15699,11200,12806,14093,26899
7483,8469,5408,5621,15952,11029,12891,14090,26981
7517,8524,5393,5643,16041,11036,12910,14167,27077
7745,8035,5639,5725,15780,11364,13384,13760,27144
7816,7569,5896,5848,15385,11744,13712,13417,27129
7897,7563,5862,5844,15460,11706,13759,13407,27166
7680,7828,5848,5807,15508,11655,13528,13635,27163
7121,8866,5468,5711,15987,11179,12589,14577,27166
7767,7914,5730,5784,15681,11514,13497,13698,27195
7760,7595,5933,5931,15355,11864,13693,13526,27219
7943,7603,5814,5860,15546,11674,13757,13463,27220
7860,7842,5692,5840,15702,11532,13552,13682,27234
8048,7462,5805,5917,15510,11722,13853,13379,27232
